,question,answer
0,all the motor neurons that control the skeletal muscles are,Somatic
1,where are the coastal plains located in india,between the Eastern Ghats and the Bay of Bengal
2,where is this years army navy game played,Lincoln Financial Field in Philadelphia
3,who has the talismans in sailor moon s,Haruka and Michiru
4,which five year plan was affected by indo pak indo china war,The Third Five-year Plan
5,what is the 3rd largest state in usa,Alaska
6,what is the first step in the evolution of the eye,photoreceptor proteins that sense light
7,who won the oscar for best picture in 1976,Rocky
8,who dies in season 6 of once upon a time,"Edmond Dantes, The Count of Monte Cristo"
9,it took 130 years for the human population to double from 1 billion to 2 billion,
10,how many tornado planes does the uk have,138
11,vikram samvat calender is official in which country,Nepal
12,where was the deer hunter hunting scene filmed,Mount Baker-Snoqualmie National Forest
13,what are the parts of a domain name called,top-level domain
14,where is republic of doyle supposed to take place,"St. John's, Newfoundland and Labrador"
15,when did beds become popular in france and germany,the 12th century
16,when does the little couples new season start,"September 19, 2017"
17,the seed of a gymnosperm seed is made in the,either on the surface of scales or leaves
18,factories that assemble parts made in other countries,special economic zones
19,what is the poorest county in the state of florida,Union
20,lynyrd skynyrd last of a dying breed album,
21,who did deion sanders go in the hall of fame as,Cornerback
22,who played daisy duke in the new dukes of hazzard,Jessica Simpson
23,what is the most current adobe flash player version,28.0.0.137
24,how much energy does coal produce in the us,16.5 quadrillion BTUs
25,who plays elsa's aunt in once upon a time,Elizabeth Mitchell
26,who had the longest tenure as moderator on meet the press,Tim Russert
27,how long is the famous suspension bridge in san francisco and what is it called,"8,981 ft (2,737.4 m),[2] about 1.7 mi (2.7 km)"
28,where is the national championship for college football played,"Mercedes-Benz Stadium in Atlanta, Georgia on January 8, 2018"
29,meaning of lyrics to wade in the water,
30,how often does a speed limit sign need to be posted,
31,when are centrally acting skeletal muscle relaxants used,to alleviate musculoskeletal pain and spasms and to reduce spasticity in a variety of neurological conditions
32,when does bloom find out who she is,"Addio Magix!""  / ""The Font of Dragon Fire"
33,who wrote song what a friend we have in jesus,Joseph M. Scriven
34,who decides the number of judges in the high court,the President of India
35,in which sea pearl is found in india,the Indian Ocean
36,what is the payout for the texas bowl,US$3 million per team
37,what are the top five wine producing states,California
38,where is jj's husband on criminal minds,
39,who plays sheila carter on the bold and the beautiful,Kimberlin Brown
40,where does the saying like a boss come from,
41,which site of an enzyme is called allosteric site,regulatory site
42,where are unipolar neurons found in spinal cord,the distal dorsal root
43,what is the point of a menstrual cup,to collect menstrual flow
44,who has scored more goals in the premier league,Alan Shearer
45,who played mark on the show the rifleman,John Ernest Crawford
46,when did hawaii become a state and why,
47,who is the actor that plays ducky on ncis,David McCallum
48,what was the purpose of a revival meeting during the second great awakening,evangelizing
49,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis
50,disney characters for every letter of the alphabet,
51,names of supreme court judges in sri lanka,
52,disease of the light sensitive innermost layer of the eyeball,
53,who wrote the poem the woods are lovely dark and deep,
54,who said if a tree falls in the woods and nobody hears it,Charles Riborg Mann
55,who wants a heart in the wizard of oz,the Tin Woodman
56,who is the guy who walked across the twin towers,Philippe Petit
57,how do you think south africa compared with singapore,
58,when is the last time the vikings were in the nfc championship,1976
59,who said the poison is in the dose,Paracelsus
60,what does the transfer case control module do,transfers power from the transmission to the front and rear axles by means of drive shafts
61,where do they grow hops in the us,the Yakima (Washington) and Willamette (Oregon) valleys
62,where does kevins family go in home alone 2,Florida
63,how many words are in national anthem of pakistan,
64,when was the first australian prime minister elected,Sir Edmund Barton
65,who sings the theme song for the proud family,Destiny's Child
66,what is the short story the gift of the magi about,a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money
67,cast of law & order special victim unit,Christopher Meloni
68,who wrote the book the origin of species,Charles Darwin
69,when is the next deadpool movie being released,"May 18, 2018"
70,who started the state of the union address,Woodrow Wilson
71,who is the owner of reading football club,Dai Yongge
72,who is the head a in pretty little liars,CeCe Drake
73,how many countries are a part of opec,14
74,who sings the song you'll never find another love like mine,Lou Rawls
75,where is gall bladder situated in human body,beneath the liver
76,ed edd n eddy double d boy or girl,"three preteen boys named Ed, Edd (called ""Double D"" to avoid confusion with Ed), and Eddy—collectively known as ""the Eds"""
77,how long have we been celebrating pi day,2009
78,with which regions does australia have historical ties,
79,who sang rip it up and start again,Orange Juice
80,what is the first basic process in the light reaction of photosynthesis,one molecule of the pigment chlorophyll absorbs one photon and loses one electron
81,who sings theme tune to orange is the new black,Spektor
82,where no man has gone before episode cast,
83,who did the astros play last time they were in the world series,Los Angeles Dodgers
84,where do the royalties for winnie the pooh go,"Slesinger, Inc."
85,which mode is used for short wave broadcast service,MFSK
86,what is the significance of the sahara desert,the largest hot desert and the third largest desert in the world after Antarctica and the Arctic
87,where is most vascular tissue found in plants,
88,who plays the voice of johnny in sing,Taron Egerton
89,when will the flash season 4 episode 17 come out,"April 10, 2018"
90,who was the killer in the movie i know what you did last summer,Ben Willis
91,when was the last time the world series went less than 7 games,
92,which is the lion's mane jellyfish's species within its genus,C. capillata
93,who starred in the movie natural born killers,Woody Harrelson
94,what is the largest magnitude earthquake that has occurred in the pacific northwest,The 1700 Cascadia earthquake
95,what is the longest pier in the uk,Southend Pier
96,what is the share of agriculture in indian economy,17.32%
97,when did they stop making pull tabs on beer cans,1970s
98,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky
99,who sings too much time on my hands lyrics,Tommy Shaw
100,what is the most common blood type in sweden,AB+
101,who sang a whiter shade of pale first,Procol Harum
102,in a microsoft access table what does a row of information represent,"a single, implicitly structured data item in a table"
103,when did toyota first come to the united states,1957
104,where is the tv show the curse of oak island filmed,Oak Island
105,when is the state of the union televised,"in the evening, after 9pm ET (UTC-5)"
106,what do the films mean in high castle,The Grasshopper Lies Heavy is a series of newsreel films depicting multiple alternative realities
107,who invented the cornell method of note taking,Walter Pauk
108,my first love was a castle in the sky,
109,name a food you might eat on thanksgiving,turkey
110,what is the use of adobe flash cs3 professional,supported modern programming practices and enabled business applications to be developed with Flash
111,who has the rights to alice in wonderland,
112,who are the characters in yo gabba gabba,DJ Lance Rock
113,what kind of fish live in the salton sea,tilapia
114,when was i look at the world poem written,30–31 October 2000
115,india and china went to war in 1962,
116,when is the next tangled the series episode coming out,
117,what causes cracked skin at the corners of your mouth,infection
118,the primary reason for the creation of federal whistleblower statutes was to,
119,alison krauss now that i've found you album,
120,when did the dallas cowboys win their last playoff game,2014
121,when was the last time villanova won the ncaa basketball championship,2018
122,why did the attack on pearl harbor take place,"as a preventive action to keep the U.S. Pacific Fleet from interfering with military actions that were planned in Southeast Asia against overseas territories of the United Kingdom, the Netherlands, and the United States"
123,where was a time for choosing speech given,"Los Angeles County, California, U.S."
124,when is the last time the philadelphia won the superbowl,"Super Bowl LII,"
125,what type of political system does el salvador have,"""flawed democracy"""
126,what is the name of the hyena in lion king,Shenzi
127,where are the winter olympics and when do they start,"Pyeongchang County, South Korea"
128,what are the requirements of passing national senior certificate,
129,when does sam realize he is jim in ghost whisperer,Leap of Faith
130,what kind of guns are allowed in switzerland,"semi-automatic, but not fully automatic, firearms"
131,where is the crown of thorns starfish located,"perhaps most common in Australia, but can occur at tropical and subtropical latitudes from the Red Sea and the east African coast across the Indian Ocean, and across the Pacific Ocean to the west coast of Central America"
132,where is the host file located in windows server 2008 r2,%SystemRoot%\System32\drivers\etc\hosts
133,who did shakespeare write his play hamlet for,"almost certainly wrote his version of the title role for his fellow actor, Richard Burbage"
134,where did the first african american air force unit train,"Moton Field, the Tuskegee Army Air Field"
135,what is the current mac os operating system,10.13.4
136,who's playing in the world series and when is it,Houston Astros
137,genre of diary of a wimpy kid the getaway,Children's novel
138,did anyone die from ebola in the us,
139,which country has the smallest population in europe,Vatican City
140,when did united states enter world war i,April 1917
141,are there many copies of sir gawain and the green knight,
142,what is nginx and what is it used for,"a web server which can also be used as a reverse proxy, load balancer and HTTP cache"
143,what caused the breakup of the democratic republican party,the disputed 1824 presidential election
144,what is the weight of a honda fit,"1,020–1,080 kg"
145,what is earth's magnetic field responsible for,"deflect most of the solar wind, whose charged particles would otherwise strip away the ozone layer that protects the Earth from harmful ultraviolet radiation"
146,when are two events said to be independent,if the occurrence of one does not affect the probability of occurrence of the other
147,what is the string of 882 islands extending southwest from the southern tip of florida known as,
148,what is the lowest recorded temperature on mount vinson,
149,when was catch me if you can made,2002
150,explain what will happen if a normal gamete like y fertilises gamete x,
151,what nfl team is robert griffin the third playing for,currently a free agent
152,who sings the theme song for the tv show cops,Inner Circle
153,make a project report on agricultural crops grown in india,
154,how many languages do they speak in africa,
155,when did jack mccoy join law and order,1994
156,when do the grand magic games start in fairy tail,"Crocus, the Flower-Blooming Capital"
157,where is the emerald ash borer found in the us,"range north to the upper peninsula of Michigan, south to northern Louisiana, west to Colorado, and east to Massachusetts"
158,global trade during the ming dynasty of china,
159,what is the total eclipse of the heart video about,
160,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier
161,who wrote there's a guy works down the chip shop lyrics,Kirsty MacColl
162,when did the term sustainability start to be used,1987
163,percy jackson and the olympians sea of monsters summary,
164,where does the modern view of history originate from,approximately in the early 16th century
165,who played stumpy in the movie rio bravo,Walter Brennan
166,when does the new death of superman come out,late 2018
167,when does the champions league quarter finals start,16 March 2018
168,when was the first episode of scooby doo,"September 13, 1969"
169,what gun does the california highway patrol use,Smith & Wesson M&P in .40 S&W
170,what is the song in red dead redemption,Far Away
171,who was elected governor of tennessee in 1865,Edward H. East
172,when was the worlds first laptop computer introduced in the market and by whom,"The portable micro computer the “Portal"" of the French company R2E Micral CCMC officially appeared in September 1980"
173,what is the role of hcl in the stomach,"plays a key role in digestion of proteins, by activating digestive enzymes, and making ingested proteins unravel so that digestive enzymes break down the long chains of amino acids"
174,who wrote antigone and what are the dates of his birth and death,Sophocles
175,when is the fourth movie of the divergent series coming out,never made
176,what is windows defender and what does it do,
177,who has been ranked no. 1 in the latest football rankings announced by fifa,Germany
178,the grand tour season 2 episode 2 celebrity guests,Abbie Eaton
179,who is the book of galatians written to,a number of Early Christian communities in Galatia
180,when does the miz and maryse show start,2018
181,how did rogue get super strength and flight,"Rogue permanently absorbed the superhuman powers and the psyche of Carol Danvers, the original Ms. Marvel"
182,when did disney art of animation resort open,"May 31, 2012"
183,whats the difference between ram 1500 and 2500,
184,the cast of a good day to die hard,Bruce Willis
185,which organization is the major voice of the legal profession,National Legal Aid & Defender Association
186,who sings will you still love me when i'm not young and beautiful,Lana Del Rey
187,a best alternative to a negotiated agreement (batna),
188,actor who plays eric on boy meets world,"William Alan ""Will"" Friedle"
189,where do the greasers live in the outsiders,"Tulsa, Oklahoma"
190,what is bermuda competing in the winter olympics,Cross-country skiing
191,who has given the theory of unbalanced economic growth,Hirschman
192,how many episodes are there in dragon ball z,291
193,once upon time in india kis film ka tag line hai,Lagaan (English: Taxation; also called Lagaan: Once Upon a Time in India)
194,when did the philadelphia eagles play in the super bowl last,Super Bowl LII
195,who took over for batman when his back was broken,Jean-Paul Valley (a.k.a. Azrael)
196,where was atticus finch born in to kill a mockingbird,
197,the settlers were attracted to oregon for all of the following reasons except,
198,who was involved in the mapp vs ohio case,Dollree Mapp
199,when was the defensive 3 second rule implemented,in the 2001–2002 season
200,where does the optic nerve cross the midline ​,optic chiasm
201,who has hosted the most fifa world cups,"Mexico, Italy, France, Germany (West Germany until shortly after the 1990 World Cup) and Brazil have hosted the event on two occasions"
202,who sings song at the end of beauty and the beast,Josh Groban
203,who designed the garden city of new earswick,The planner Raymond Unwin and the architect Barry Parker
204,where in the constitution is the concept of federalism established,
205,what is the only fruit that does not have seeds,
206,who played adaline in the age of adaline,Blake Lively
207,when do you hear the lub and dub sounds of the heart,"the closing of the atrioventricular valves and semilunar valves, respectively"
208,when was where have all the flowers gone written,1955
209,in us national flood insurance is available for which of the following,
210,what events occurred in the fighting at seas and near the great lakes,
211,which biome is characteristic of central sub saharan africa nearest the equator,
212,when does the movie jeepers creepers come out,"September 26, 2017"
213,what is the official symbol of the carnival of quebec,Bonhomme Carnaval
214,what's the dog's name on tom and jerry,Spike
215,turkish finnish and hungarian belong to which family of languages,Uralic languages
216,who is the president of usa right now,Donald Trump
217,meaning of joy to the world by three dog night,
218,in which regions are most of africa petroleum and natural gas found,Nigeria
219,when does the cannes film festival take place,usually in May
220,who played the mother in the black stallion,Teri Garr
221,when did the 5 day work week begin,1908
222,who will take the throne after the queen dies,"Charles, Prince of Wales"
223,where does a wrinkle in time take place,Connecticut
224,when did stephen curry won the mvp award,2014–15
225,how do i get to warsaw missouri from here,
226,what material was used to build the roofs of houses in burzahom,birch
227,what new deal program limited production in industry,NIRA
228,who played in the movie harper valley pta,
229,where is kruger national park in south africa,"in the north-east of South Africa,[9] in the eastern parts of Limpopo and Mpumalanga provinces"
230,when do the walking dead comics come out,October 2003 – present
231,who wrote knock knock knocking on heavens door,Bob Dylan
232,when did the name of bombay change to mumbai,1995
233,where does captain america civil war take place,approximately one year after Ultron's defeat in the nation of Sokovia at the hands of the Avengers
234,horatio spafford story it is well with my soul,
235,explain what is meant by plain english and why is it used,"a style of communication that uses easy to understand, plain language with an emphasis on clarity, brevity, and avoidance of overly complex vocabulary."
236,how do tsetse flies (glossina spp.) differ from other dipteran flies,fold their wings completely when they are resting so that one wing rests directly on top of the other over their abdomens
237,where did hasta la vista baby come from,Arnold Schwarzenegger's title character from the 1991 science fiction thriller film Terminator 2: Judgment Day
238,when was the last time arsenal win premier league,2003–04
239,why did alex and ellen break up on family ties,
240,when is last time the astros won the world series,2017
241,who wrote the song mary had a little lamb,Sarah Josepha Hale
242,who died in the plane crash greys anatomy,Lexie
243,the vascular layer of the eye is the,The uvea
244,where does the seven ages of man come from,from William Shakespeare's As You Like It
245,who was the governor general of india when country became independent,"Louis Mountbatten, 1st Earl Mountbatten of Burma"
246,a legislative act passed by congress is an example of,statutory law
247,who sings i want to dance with you,George Strait
248,when's the last time the philadelphia eagles played the new england patriots,in Super Bowl LII
249,where was the music video what ifs filmed,"along the Californian coast at The Inn at Newport Ranch, a resort and cattle ranch to the north of San Francisco"
250,when were 2 dollar bills stopped being made,current denomination of U.S. currency
251,which of the following is the federal governments biggest source of tax revenue,
252,where would a subcutaneous injection be made in the skin,"into the subcutis,[1] the layer of skin directly below the dermis and epidermis"
253,who played lionel in as time goes by,"Geoffrey Dyson Palmer, OBE"
254,who is the current director of the us mint,David Motl
255,when does the new season of law and order svu come on,"September 27, 2017"
256,who did the music for your lie in april,Masaru Yokoyama
257,what purpose did seasonal monsoon winds have on trade,enabled European empire expansion into the Americas and trade routes to become established across the Atlantic and Pacific oceans
258,where is the north pole on the world map,90°N 0°W﻿ / ﻿90°N -0°E
259,when is the womens ice skating for the olympics,21–23 February
260,what is the main mineral in lithium batteries,lithium
261,who wrote the first declaration of human rights,Cyrus
262,who has played for the most nba teams,
263,who occupied the holy land after the 8th crusade,
264,who has won india's next super star,Aman Gandotra
265,the south west wind blows across nigeria between,arrives in central Nigeria in July
266,how common is the word in the english language,
267,my girl don't lie to me american gods,
268,two examples where low voltage transformers are used,toys
269,panic at the disco song about a wedding,"""I Write Sins Not Tragedies"""
270,when did they replace lead with graphite in pencils,never contained the element lead
271,who won the mvp for the national league,"Stanton, Giancarlo"
272,who do the characters represent in 8 mile,loosely on Eminem
273,where is deforestation occurring in the united states,
274,who beat university of virginia in basketball this year,West Virginia
275,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias
276,who sings the song it ain't me,Selena Gomez
277,where do honey bees live in the world,
278,when was the drinking age set to 21,By mid-1988
279,who lives in the blue house in balamory,Edie McCredie
280,where did the easter eggs and bunny come from,
281,central london properties v high trees house 1947,
282,where does the president and his family live,the Executive Residence of the White House Complex
283,in what part of the digestive tube do you expect the initial digestion of starch,the mouth
284,what are the main functions of the stem,"Support for and the elevation of leaves, flowers and fruits"
285,who performed the halftime show at super bowl 51,Lady Gaga
286,who played cosette in les miserables on broadway,Judy Kuhn
287,how much does it cost for the olympics,on average USD 5.2 billion and for the Winter Games USD 3.1 billion dollars
288,who plays matthew on anne with an e,R. H. Thomson
289,who was named african footballer of the year 2014,Yaya Touré
290,when was the minimum wage established in the united states,1912
291,who produced a change is gonna come,Hugo & Luigi
292,whens the last time the patriots played the eagles,Super Bowl LII
293,when is dancing on ice on the tv,2019
294,who is allowed to be apart of the european union,a candidate state must be a free market democracy
295,method used by a writer to develop a character,Anthropomorphism
296,when was the first documented case of tool mark identification,1835
297,how much does.it cost to raise a child,
298,where was the first season of slasher filmed,"Orangeville, Ontario, Canada"
299,what was going on in 1954 in the us,
300,who sings stop listen what's that sound,Buffalo Springfield
301,dendrites and cell bodies are components of what type of matter found in the brain,Grey matter
302,what part of the brain is in the middle cranial fossa,the temporal lobes
303,how long are the episodes in stranger things season 1,42–62 minutes
304,when did how you remind me come out,"August 21, 2001"
305,which film won the oscar for best animated feature in 2007,Ratatouille
306,what are the band members names of the rolling stones,Mick Jagger
307,if there is a line that lies parallel to the horizon it is said to be,A vanishing point
308,what are the importance of rigor mortis in meat processing,rigor mortis and its resolution partially determine the tenderness of meat
309,when is the next scandal episode coming out,"February 1, 2018"
310,how many co2 molecules are produced in aerobic respiration,6
311,name the process of fusion of an egg with a sperm,fertilization
312,panda is a national animal of which country,China
313,where is the country music hall of fame located,"Nashville, Tennessee"
314,what us president is the only president to become an eagle scout,Ford
315,what are the zords in the power rangers movie,animal-themed Ninja Zords
316,where was uncle tom's cabin first published,"in The National Era, an abolitionist periodical, starting with the June 5, 1851, issue"
317,who sings why does it hurt when i pee,Frank Zappa
318,cast of hawaii five o season 8 episode 9,
319,who starred in the movie summer of 42,Gary Grimes
320,what is the sentencing reform act of 1984,U.S. federal statute intended to increase consistency in United States federal sentencing
321,who plays stacey's mum in gavin and stacey,Melanie Walters
322,when does precipitate form in a chemical reaction,When the reaction occurs in a liquid solution
323,when is the next time easter falls on april 11th,
324,points outside the production possibilities curve represent combinations of products that are,unattainable
325,radio romance ep 4 eng sub my asian tv,
326,when did movies start coming out in color,introduced around 1940
327,who is the speaker in shooting an elephant,Orwell
328,who sings that aint no way to go,American country music duo Brooks & Dunn
329,tujhe dekha toh yeh jana sanam movie name,Dilwale Dulhania Le Jayenge
330,who is the most losing team in nfl history,Arizona Cardinals
331,when was son of a preacher man released,"November 8, 1968"
332,who is the presiding officer of legislative council in india,Chairman
333,when did the united kingdom entered world war 2,1939
334,who are the faces of the postcode lottery,
335,what nfl player has the most nfl rings,Tom Brady
336,all i want for christmas is you mariah carey tour,
337,where was the original flight of the phoenix filmed,20th Century-Fox Studios
338,who wrote lord have mercy on the working man,Kostas
339,when was the last time.michigan beat ohio state,2011
340,who was the first lady nominated member of the rajya sabha,Mary Kom
341,who was the first baseball player to be featured on a postage stamp,Jackie Robinson
342,who plays the evil doctor in wonder woman,Elena Anaya
343,when was the last summer olympics in the usa,1996
344,who was the captain of the mayflower when it took the pilgrims to the new world,Christopher Jones
345,where was held the first session of muslim league,Lucknow
346,uruguay is located along what body of water,Bay of Montevideo
347,who lives who dies who tells your atory lyrics,
348,where does the brain get its energy from,"most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar),[73] but ketones provide a major alternative source, together with contributions from medium chain fatty acids (caprylic[78] and heptanoic[79] acids), lactate,[80] acetate,[81] and possibly amino acids"
349,who has the most podium finishes in australia,Michael Schumacher
350,who is the girl in green day 21 guns,Lisa Stelly
351,what is billy last name in where the red fern grows,Colman
352,who holds the record for longest motorcycle jump,
353,who has scored the most touchdowns this year,
354,where does the story the great gatsby take place,the fictional town of West Egg on prosperous Long Island
355,what is final season of game of thrones,the eighth season
356,what is the meaning of the name von,as a nobiliary particle indicating a noble patrilineality or as a simple preposition that approximately means of or from in the case of commoners
357,how much is john incredible pizza to get in,
358,who warned europe to stay out of the americas,Roosevelt Corollary
359,who was the pitcher who broke his arm,
360,who was toot toot in the green mile,A trustee
361,when did world war 2 officially start and end,1 September 1939 – 2 September 1945
362,when did the first train run in england,1560s
363,where does the autobahn have no speed limit,
364,where will the first round of march madness be played,"PPG Paints Arena, Pittsburgh, Pennsylvania (Host: Duquesne University)"
365,what is the corporate tax rate in great britain,a flat rate of 20%
366,where is the sweet sixteen 2018 being held,"Staples Center, Los Angeles, California"
367,what percentage of the world population is vegan,approximately 21.8% of the world’s population
368,who won the most medals in the 1924 winter olympics,Norway
369,what album is sacrifice by elton john on,Sleeping with the Past
370,who plays jimmy's mom in 8 mile,Kim Basinger
371,when will the next episode of my next guest needs no introduction,"May 31, 2018"
372,who kills barry's mom in the flash,Professor Eobard Thawne
373,who was the buccaneers qb when they won the superbowl,Brad Johnson
374,what does hp mean in war and order,hit points or health points
375,when does karev die in grey's anatomy,
376,who may be affected by monetary penalties imposed by the irs,Taxpayers in the United States
377,who plays nikki in need for speed carbon,
378,where does the white witch live in narnia,her castle
379,who turned out to be the mother on how i met your mother,Tracy McConnell
380,what network is showing the monday night football game,ESPN
381,who want to be a millionaire calls his dad,Carpenter
382,who did cora marry in once upon a time,Henry
383,who has trained the most melbourne cup winners,Bart Cummings
384,what is the name of manchester united stadium,Old Trafford
385,what are the five pillars of islam in arabic,
386,who sang the song you got a friend in me,Randy Newman
387,what is the meaning of the name sinead,God forgave/God gratified
388,who painted the ceiling of the florence cathedral,Giorgio Vasari
389,who got the first nobel prize in physics,"Wilhelm Conrad Röntgen, of Germany"
390,differentiate between dot matrix printer and daisy wheel printer,
391,what is a real world application of an atwood machine,An elevator with a counterbalance
392,who played susanna in legends of the fall,Julia Ormond
393,when did amnesia the dark descent come out,8 September 2010
394,what happened to the fourth member of destinys child,"Franklin quit after five months, leaving the group as a trio"
395,list of states of australia and their capitals,
396,is president's day a bank holiday in the us,
397,where did they film high school musical two,
398,where did the name kaiser permanente come from,"Permanente Creek, which flowed past Henry Kaiser's first cement plant on Black Mountain in Cupertino, California"
399,what was the soviets response to the truman doctrine,
400,what does the board of directors consist of,a recognized group of people who jointly oversee the activities of an organization
401,whats the difference between tomato paste and tomato puree,consistency
402,what is the supreme court's major power,ultimate (and largely discretionary) appellate jurisdiction over all federal courts and state court cases involving issues of federal law plus original jurisdiction over a small range of cases
403,when is marvel's most wanted coming out,
404,when does auto start-stop automatically shutdown the engine,upon braking to a full stop
405,when did fortnite battle royal come out on xbox,September 2017
406,when was a series of unfortunate events published,"September 30, 1999 – October 14, 2006"
407,what guides santa home after he has delivered presents,
408,who led the soldiers in ending the raid on the harper's ferry arsenal,First Lieutenant Israel Greene
409,where have the good guys gone to hideaway,
410,industrial city in germany on the rhine herne canal,Duisburg
411,what platform is sandringham line at flinders st,
412,where is the protien made in the cell,in the cell nucleus
413,what is the form of mozart symphony no 40,G minor
414,who owns the dower house in the archers,Caroline Sterling
415,when did god save the queen became the national anthem,in the 1780s and 1790s
416,when did the us stop drafting for the vietnam war,1973
417,7 deadly sins signs of a holy war,
418,who was on the first season of dwts,Trista Sutter
419,how many episodes of corrie has there been,"9,436"
420,who were some of the survivors on the titanic,
421,who is the richest club in the championship,Manchester City
422,where is the dead sea located in jordan,
423,how old is the actress who plays phyllis on y&r,Gina Tognoni
424,who did the central powers defeat on the eastern front before concentrating back on france,the Russian army
425,what is the origin of the phrase going cold turkey,"the piloerection or ""goose bumps"" that occurs with abrupt withdrawal from opioids, which resembles the skin of a plucked refrigerated turkey"
426,texas flip and move how does it work,
427,mention any two function of the speaker of the lok sabha,decides whether a bill is a money bill or not
428,how many strong verbs are there in german,more than 200
429,which apostle spoke at the council of jerusalem,James
430,where are the coastal plains of india situated,between the Eastern Ghats and the Bay of Bengal
431,what are three different types of hotel properties,Hotel barge
432,subcommittee on antitrust competition policy and consumer rights,
433,youtube phil collins don't lose my number,
434,total number of mna in pakistan national assembly,332
435,when is the next episode of flash airing,"May 8, 2018"
436,where did the term spirits for alcohol come from,Middle Eastern alchemy
437,an edge that is between a vertex and itself is a,"loop (also called a self-loop or a ""buckle"")"
438,who wrote the song the glory of love,Billy Hill
439,who has won the mens singles title in the australian open tennis tournament,Roger Federer
440,the arp request is sent to which of the following layer 2 destination addresses,
441,what type of song is what a wonderful world,pop ballad
442,what is the tigers name in life of pi,Richard Parker
443,how many books are in the diary of a whimpy kid series,"twelve Wimpy Kid books have been released, plus one do-it-yourself book and two movie diaries"
444,the group that officially elects the president of the united states is called,U.S. Electoral College
445,who died in the first episode of stranger things,Benny
446,curious incident of the dog in the nighttime singapore wikipedia,
447,how tall is the actor who plays hagrid in harry potter,6ft 1in
448,actress who plays brad pitts wife in war machine,Meg Tilly
449,what is the name of the dragon in eragon,Saphira
450,fast & furious 8 release date in india,"April 12, 2017"
451,when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006
452,why does prince edward island have red sand,sedimentary rock and other material with a high iron concentration which oxidizes upon exposure to the air
453,when do primary ossification centers appear in an embryo,prenatal development
454,what is the largest bill in american money,$100
455,where does the nitrogen for this fertilizer come from,
456,what type of plate boundary is associated with iceland and its volcanic eruptions,the mid-Atlantic Ridge
457,what happens to the rbc in acute hemolytic reaction,rapid destruction of the donor red blood cells by host antibodies
458,where are most nutrients absorbed in the human digestive tract,The small intestine or small bowel
459,where did the idea of fortnite come from,as a cross between Minecraft and Left 4 Dead
460,what is the meaning of the name gomez,man
461,what was the city of beijing previously known as,Peking
462,what type of car is a jeep considered,light utility vehicles
463,what is the job of justice of the peace,"a judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace."
464,who is the book of acts written to,to Jewish audiences
465,where does the formation of atp take place,mitochondrial membrane in eukaryotes
466,who is the only bowler to take hattrick in test cricket,
467,what is the cross on a letter t called,crossbar
468,what was the first video game for nintendo,EVR Race
469,when is season 2 of jessica jones being released,"March 8, 2018"
470,who ran the fastest 40 yard dash in the nfl,Jakeem Grant
471,where does kylo ren's name come from,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren."""
472,why did government sponsored surveys and land acts encourage migration to the west,
473,right to property according to the constitution of india is a,constitutional right
474,a bond that the issuer has the right to pay off before its maturity date,callable
475,who is rose in the fall season 2,a woman who had a sexual relationship with Paul whilst at university
476,bond villain has a good head for numbers,
477,when does the nba season end this year,"April 11, 2018"
478,who won the national championship in volleyball 2017,Ohio State
479,the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint
480,where does patience is a virtue come from,"""Psychomachia,"" an epic poem written in the fifth century."
481,which is the first private medical college in kerala,Amrita Institute of Medical Sciences and Research Centre
482,what is the final season of downton abbey,six
483,who played ricky in secret life of the american teenager,Daren Maxwell Kagasoff
484,who is the voice of the other mother in coraline,Teri Hatcher
485,what is step 1 of the 12 step program,We admitted we were powerless over alcohol—that our lives had become unmanageable.
486,when is the rock n roll hall of fame,
487,why is the new disney movie called coco,
488,where was the killing of a sacred deer filmed,Cincinnati
489,list of american league and national league teams,
490,who was kat slater's sisters in eastenders,Lynne
491,who played raquel in only fools and horses,Tessa Peake-Jones
492,when does the soul train music awards come on tv,
493,what is an example of a government monopoly in the united states,State Bar of Arizona
494,when did the song the joker come out,October 1973
495,who sings tie a yellow ribbon around the old oak tree,Tony Orlando and Dawn
496,the cuban revolt against spain was led by,Máximo Gomez
497,what position did doug peterson play in the nfl,"a member of the Green Bay Packers, serving as a backup quarterback to Brett Favre and holder on placekicks"
498,are all firestone tires made in the usa,
499,where can you find dna in the body,inside the cell nucleus
